Domicile,Score_Domicile,Score_Exterieur,Exterieur,Vainqueur,MT_Domicile,MT_Exterieur
Legion,3,4,Kril,Kril,2,3
alosdvxl,3,1,hrk,alosdvxl,3,0
hrk,3,1,Legion,hrk,1,1
Kril,7,4,Mers,Kril,4,2
Mers,4,2,hrk,Mers,3,1
Legion,2,1,alosdvxl,Legion,1,1
alosdvxl,7,1,Mers,alosdvxl,2,1
hrk,2,6,Kril,Kril,0,4
Kril,4,7,alosdvxl,alosdvxl,3,3
Mers,2,1,Legion,Mers,1,1
Kril,3,1,Legion,Kril,2,0
hrk,5,4,alosdvxl,hrk,4,2
Legion,0,5,hrk,hrk,0,3
Mers,4,2,Kril,Mers,1,0
hrk,4,4,Mers,Draw,2,2
alosdvxl,6,0,Legion,alosdvxl,4,0
Mers,4,4,alosdvxl,Draw,3,3
Kril,2,2,hrk,Draw,1,1
alosdvxl,4,6,Kril,Kril,3,3
Legion,1,3,Mers,Mers,0,2
Legion,3,4,Kril,Kril,,
alosdvxl,3,1,hrk,alosdvxl,,
hrk,3,1,Legion,hrk,,
Kril,7,4,Mers,Kril,,
Mers,4,2,hrk,Mers,,
Legion,2,1,alosdvxl,Legion,,
alosdvxl,7,1,Mers,alosdvxl,,
hrk,2,6,Kril,Kril,,
Kril,4,7,alosdvxl,alosdvxl,,
Mers,2,1,Legion,Mers,,
Kril,3,1,Legion,Kril,,
hrk,5,4,alosdvxl,hrk,,
Legion,0,5,hrk,hrk,,
Mers,4,2,Kril,Mers,,
hrk,4,4,Mers,Draw,,
alosdvxl,6,0,Legion,alosdvxl,,
Mers,4,4,alosdvxl,Draw,,
Kril,2,2,hrk,Draw,,
alosdvxl,4,6,Kril,Kril,,
Legion,1,3,Mers,Mers,,
Gula14,1,3,Koss,Koss,1,0
Stasyan,2,3,Sheva,Sheva,2,3
Sheva,3,1,Gula14,Sheva,2,0
Koss,3,3,Mapiston,Draw,1,2
Mapiston,4,2,Sheva,Mapiston,2,1
Gula14,4,1,Stasyan,Gula14,3,1
Stasyan,4,1,Mapiston,Stasyan,1,0
Sheva,2,2,Koss,Draw,1,0
Koss,3,2,Stasyan,Koss,2,1
Mapiston,1,1,Gula14,Draw,0,1
Koss,1,1,Gula14,Draw,0,0
Sheva,4,2,Stasyan,Sheva,3,1
Gula14,3,2,Sheva,Gula14,3,1
Mapiston,3,0,Koss,Mapiston,1,0
Sheva,1,0,Mapiston,Sheva,1,0
Stasyan,1,1,Gula14,Draw,1,0
Mapiston,2,0,Stasyan,Mapiston,0,0
Koss,3,3,Sheva,Draw,0,0
Stasyan,1,4,Koss,Koss,0,2
Gula14,1,2,Mapiston,Mapiston,1,0
fantazer,2,0,Groma,fantazer,2,0
pimchik,1,3,Profik,Profik,1,1
Profik,2,1,fantazer,Profik,1,0
Groma,2,1,L1genda,Groma,1,0
L1genda,1,4,Profik,Profik,0,2
fantazer,3,1,pimchik,fantazer,1,1
pimchik,3,0,L1genda,pimchik,0,0
Profik,2,1,Groma,Profik,2,0
Groma,4,1,pimchik,Groma,3,1
L1genda,1,2,fantazer,fantazer,1,1
Groma,4,2,fantazer,Groma,3,2
Profik,2,2,pimchik,Draw,1,1
fantazer,4,3,Profik,fantazer,3,1
L1genda,2,3,Groma,Groma,1,2
Profik,0,0,L1genda,Draw,0,0
pimchik,1,1,fantazer,Draw,0,0
L1genda,0,2,pimchik,pimchik,0,1
Groma,2,2,Profik,Draw,1,2
pimchik,0,2,Groma,Groma,0,1
fantazer,4,1,L1genda,fantazer,3,1
alosdvxl,3,3,kirman,Draw,2,1
Dan_dragonio,7,5,Kril,Dan_dragonio,5,2
Dan_dragonio,2,6,alosdvxl,alosdvxl,2,3
Kril,6,6,kirman,Draw,3,4
kirman,7,2,Dan_dragonio,kirman,4,0
Kril,5,3,alosdvxl,Kril,3,2
alosdvxl,2,5,kirman,kirman,0,3
Dan_dragonio,4,4,Kril,Draw,2,3
Dan_dragonio,5,3,alosdvxl,Dan_dragonio,3,2
Kril,2,7,kirman,kirman,1,3
kirman,5,4,Dan_dragonio,kirman,3,3
Kril,4,3,alosdvxl,Kril,3,2
alosdvxl,4,4,kirman,Draw,1,1
Dan_dragonio,0,5,Kril,Kril,0,3
Dan_dragonio,7,4,alosdvxl,Dan_dragonio,4,2
Kril,5,2,kirman,Kril,3,1
kirman,8,2,Dan_dragonio,kirman,4,2
Kril,6,3,alosdvxl,Kril,3,2
Mapiston,0,1,L1genda,L1genda,0,1
Dreamer,2,4,Bob,Bob,0,2
Bob,5,4,Mapiston,Bob,3,3
L1genda,0,2,Gula14,Gula14,0,2
Gula14,2,1,Bob,Gula14,1,1
Mapiston,2,2,Dreamer,Draw,0,0
Dreamer,2,1,Gula14,Dreamer,2,1
Bob,0,1,L1genda,L1genda,0,0
L1genda,5,1,Dreamer,L1genda,2,1
Gula14,3,0,Mapiston,Gula14,1,0
L1genda,1,1,Mapiston,Draw,0,0
Bob,3,1,Dreamer,Bob,2,0
Mapiston,0,2,Bob,Bob,0,1
Gula14,2,5,L1genda,L1genda,1,2
Bob,6,2,Gula14,Bob,3,1
Dreamer,3,1,Mapiston,Dreamer,2,0
Gula14,1,0,Dreamer,Gula14,0,0
L1genda,1,3,Bob,Bob,0,3
Dreamer,5,1,L1genda,Dreamer,2,1
Mapiston,0,2,Gula14,Gula14,0,2
pimchik,1,4,Senya,Senya,1,2
Profik,3,3,Kostolom89,Draw,3,0
Kostolom89,1,2,pimchik,pimchik,1,2
Senya,1,4,fantazer,fantazer,1,3
fantazer,3,2,Kostolom89,fantazer,0,0
pimchik,2,3,Profik,Profik,1,3
Profik,1,3,fantazer,fantazer,1,2
Kostolom89,1,2,Senya,Senya,0,2
Senya,2,2,Profik,Draw,1,1
fantazer,2,0,pimchik,fantazer,2,0
Senya,1,3,pimchik,pimchik,0,0
Kostolom89,2,3,Profik,Profik,0,1
pimchik,3,6,Kostolom89,Kostolom89,1,3
fantazer,2,2,Senya,Draw,2,1
Kostolom89,0,1,fantazer,fantazer,0,0
Profik,0,1,pimchik,pimchik,0,1
fantazer,1,3,Profik,Profik,0,2
Senya,1,2,Kostolom89,Kostolom89,0,1
Profik,5,4,Senya,Profik,3,2
pimchik,3,1,fantazer,pimchik,1,1
hrk,2,1,Kril,hrk,,
alosdvxl,2,4,kirman,kirman,,
kirman,3,3,hrk,Draw,,
Kril,5,6,Legion,Legion,,
Legion,3,4,kirman,kirman,,
hrk,7,5,alosdvxl,hrk,,
alosdvxl,1,4,Legion,Legion,,
kirman,5,2,Kril,kirman,,
Kril,5,2,alosdvxl,Kril,,
Legion,1,3,hrk,hrk,,
Kril,5,2,hrk,Kril,,
kirman,3,5,alosdvxl,alosdvxl,,
hrk,2,2,kirman,Draw,,
Legion,2,7,Kril,Kril,,
kirman,2,2,Legion,Draw,,
alosdvxl,5,2,hrk,alosdvxl,,
Legion,3,2,alosdvxl,Legion,,
Kril,1,8,kirman,kirman,,
alosdvxl,5,8,Kril,Kril,,
hrk,3,3,Legion,Draw,,
Profik,2,2,Dreamer,Draw,,
L1genda,1,1,Gula14,Draw,,
Gula14,1,2,Profik,Profik,,
Dreamer,4,3,Senya,Dreamer,,
Senya,2,2,Gula14,Draw,,
Profik,2,2,L1genda,Draw,,
L1genda,3,3,Senya,Draw,,
Gula14,0,3,Dreamer,Dreamer,,
Dreamer,1,4,L1genda,L1genda,,
Senya,3,2,Profik,Senya,,
Dreamer,1,3,Profik,Profik,,
Gula14,1,1,L1genda,Draw,,
Profik,1,1,Gula14,Draw,,
Senya,4,3,Dreamer,Senya,,
Gula14,2,2,Senya,Draw,,
L1genda,2,1,Profik,L1genda,,
Senya,3,2,L1genda,Senya,,
Dreamer,2,0,Gula14,Dreamer,,
L1genda,2,3,Dreamer,Dreamer,,
Profik,7,3,Senya,Profik,,
Stasyan,0,1,fantazer,fantazer,,
Andrew,0,1,bucho55,bucho55,,
bucho55,4,4,Stasyan,Draw,,
fantazer,2,2,Sheva,Draw,,
Sheva,5,1,bucho55,Sheva,,
Stasyan,4,4,Andrew,Draw,,
Andrew,2,3,Sheva,Sheva,,
bucho55,2,4,fantazer,fantazer,,
fantazer,1,2,Andrew,Andrew,,
Sheva,2,2,Stasyan,Draw,,
fantazer,2,4,Stasyan,Stasyan,,
bucho55,2,2,Andrew,Draw,,
Stasyan,4,4,bucho55,Draw,,
Sheva,2,2,fantazer,Draw,,
bucho55,2,1,Sheva,bucho55,,
Andrew,1,1,Stasyan,Draw,,
Sheva,5,4,Andrew,Sheva,,
fantazer,5,3,bucho55,fantazer,,
Andrew,1,3,fantazer,fantazer,,
Stasyan,1,4,Sheva,Sheva,,
hrk,0,2,Kril,Kril,,
Legion,3,3,kirman,Draw,,
kirman,2,5,hrk,hrk,,
Kril,5,4,Dan_dragonio,Kril,,
Dan_dragonio,1,10,kirman,kirman,,
hrk,6,2,Legion,hrk,,
Legion,3,5,Dan_dragonio,Dan_dragonio,,
kirman,2,5,Kril,Kril,,
Kril,6,2,Legion,Kril,,
Dan_dragonio,6,5,hrk,Dan_dragonio,,
Kril,1,2,hrk,hrk,,
kirman,6,1,Legion,kirman,,
hrk,0,2,kirman,kirman,,
Dan_dragonio,7,5,Kril,Dan_dragonio,,
kirman,9,4,Dan_dragonio,kirman,,
Legion,2,3,hrk,hrk,,
Dan_dragonio,1,4,Legion,Legion,,
Kril,1,9,kirman,kirman,,
Legion,4,4,Kril,Draw,,
hrk,6,0,Dan_dragonio,hrk,,
Stasyan,2,0,Koss,Stasyan,,
Mapiston,1,2,Sheva,Sheva,,
Sheva,3,3,Stasyan,Draw,,
Koss,1,3,Bob,Bob,,
Bob,2,2,Sheva,Draw,,
Stasyan,2,4,Mapiston,Mapiston,,
Mapiston,3,3,Bob,Draw,,
Sheva,1,3,Koss,Koss,,
Koss,2,1,Mapiston,Koss,,
Bob,1,5,Stasyan,Stasyan,,
Koss,5,2,Stasyan,Koss,,
Sheva,2,3,Mapiston,Mapiston,,
Stasyan,2,4,Sheva,Sheva,,
Bob,2,1,Koss,Bob,,
Sheva,5,3,Bob,Sheva,,
Mapiston,5,1,Stasyan,Mapiston,,
Bob,3,2,Mapiston,Bob,,
Koss,0,3,Sheva,Sheva,,
Mapiston,3,2,Koss,Mapiston,,
Stasyan,3,5,Bob,Bob,,
Senya,2,3,L1genda,L1genda,,
Andrew,2,1,fantazer,Andrew,,
fantazer,4,2,Senya,fantazer,,
L1genda,1,2,Profik,Profik,,
Profik,1,2,fantazer,fantazer,,
Senya,4,5,Andrew,Andrew,,
Andrew,2,1,Profik,Andrew,,
fantazer,2,0,L1genda,fantazer,,
L1genda,0,3,Andrew,Andrew,,
Profik,1,2,Senya,Senya,,
L1genda,4,1,Senya,L1genda,,
fantazer,3,0,Andrew,fantazer,,
Senya,3,4,fantazer,fantazer,,
Profik,1,1,L1genda,Draw,,
fantazer,1,3,Profik,Profik,,
Andrew,2,3,Senya,Senya,,
Profik,2,4,Andrew,Andrew,,
L1genda,2,4,fantazer,fantazer,,
Andrew,2,3,L1genda,L1genda,,
Senya,3,4,Profik,Profik,,
hrk,2,2,Kril,Draw,,
Legion,4,2,kirman,Legion,,
kirman,3,1,hrk,kirman,,
Kril,5,4,Radahn,Kril,,
Radahn,5,1,kirman,Radahn,,
hrk,2,1,Legion,hrk,,
Legion,4,4,Radahn,Draw,,
kirman,2,2,Kril,Draw,,
Kril,7,7,Legion,Draw,,
Radahn,5,4,hrk,Radahn,,
Kril,3,3,hrk,Draw,,
kirman,6,3,Legion,kirman,,
hrk,2,1,kirman,hrk,,
Radahn,1,1,Kril,Draw,,
kirman,3,5,Radahn,Radahn,,
Legion,3,2,hrk,Legion,,
Profik,0,4,Koss,Koss,,
Dreamer,2,1,L1genda,Dreamer,,
L1genda,1,3,Profik,Profik,,
Koss,1,2,Stasyan,Stasyan,,
Stasyan,3,3,L1genda,Draw,,
Profik,3,2,Dreamer,Profik,,
Dreamer,3,2,Stasyan,Dreamer,,
L1genda,3,3,Koss,Draw,,
Koss,3,3,Dreamer,Draw,,
Stasyan,1,1,Profik,Draw,,
Koss,3,3,Profik,Draw,,
L1genda,0,2,Dreamer,Dreamer,,
Profik,3,3,L1genda,Draw,,
Stasyan,2,3,Koss,Koss,,
L1genda,1,0,Stasyan,L1genda,,
Dreamer,4,1,Profik,Dreamer,,
Stasyan,0,0,Dreamer,Draw,,
Koss,1,2,L1genda,L1genda,,
Dreamer,1,5,Koss,Koss,,
Profik,4,0,Stasyan,Profik,,
Kolesya,1,3,bucho55,bucho55,,
Yerema,0,2,fantazer,fantazer,,
fantazer,3,4,Kolesya,Kolesya,,
bucho55,1,1,Sheva,Draw,,
Sheva,1,1,fantazer,Draw,,
Kolesya,4,2,Yerema,Kolesya,,
Yerema,3,4,Sheva,Sheva,,
fantazer,3,1,bucho55,fantazer,,
bucho55,4,1,Yerema,bucho55,,
Sheva,2,0,Kolesya,Sheva,,
bucho55,3,2,Kolesya,bucho55,,
fantazer,4,1,Yerema,fantazer,,
Kolesya,3,3,fantazer,Draw,,
Sheva,4,1,bucho55,Sheva,,
fantazer,3,5,Sheva,Sheva,,
Yerema,3,5,Kolesya,Kolesya,,
Sheva,5,3,Yerema,Sheva,,
bucho55,0,2,fantazer,fantazer,,
Yerema,3,6,bucho55,bucho55,,
Kolesya,3,5,Sheva,Sheva,,
Dan_dragonio,5,7,alosdvxl,alosdvxl,,
Legion,4,4,kirman,Draw,,
kirman,9,8,Dan_dragonio,kirman,,
alosdvxl,6,2,Radahn,alosdvxl,,
Radahn,3,3,kirman,Draw,,
Dan_dragonio,3,4,Legion,Legion,,
Legion,3,5,Radahn,Radahn,,
kirman,10,3,alosdvxl,kirman,,
alosdvxl,4,2,Legion,alosdvxl,,
Radahn,3,3,Dan_dragonio,Draw,,
alosdvxl,6,5,Dan_dragonio,alosdvxl,,
kirman,3,3,Legion,Draw,,
Dan_dragonio,3,9,kirman,kirman,,
Radahn,4,4,alosdvxl,Draw,,
kirman,3,3,Radahn,Draw,,
Legion,4,1,Dan_dragonio,Legion,,
Radahn,4,3,Legion,Radahn,,
alosdvxl,7,6,kirman,alosdvxl,,
Legion,1,6,alosdvxl,alosdvxl,,
Dan_dragonio,2,4,Radahn,Radahn,,
Gula14,1,0,Profik,Gula14,,
bucho55,1,5,Kolesya,Kolesya,,
Kolesya,2,3,Gula14,Gula14,,
Profik,4,4,Senya,Draw,,
Senya,2,4,Kolesya,Kolesya,,
Gula14,3,2,bucho55,Gula14,,
bucho55,3,4,Senya,Senya,,
Kolesya,3,4,Profik,Profik,,
Profik,3,1,bucho55,Profik,,
Senya,0,0,Gula14,Draw,,
Profik,1,1,Gula14,Draw,,
Kolesya,3,4,bucho55,bucho55,,
Gula14,1,2,Kolesya,Kolesya,,
Senya,0,2,Profik,Profik,,
Kolesya,4,2,Senya,Kolesya,,
bucho55,1,2,Gula14,Gula14,,
Senya,3,5,bucho55,bucho55,,
Profik,0,1,Kolesya,Kolesya,,
bucho55,4,2,Profik,bucho55,,
