Joueur,MJ,Victoires,Nuls,Defaites,Buts_Pour,Buts_Contre,Difference,Points,Pourcentage_Victoire
fantazer,104,70,12,22,285,171,114,222,67.3
kirman,88,45,23,20,387,277,110,158,51.1
Kril,79,41,17,21,331,283,48,140,51.9
Sheva,72,40,14,18,193,139,54,134,55.6
Profik,80,33,19,28,186,166,20,118,41.2
Mapiston,80,32,17,31,175,170,5,113,40.0
hrk,79,31,16,32,249,260,-11,109,39.2
alosdvxl,81,30,11,40,340,345,-5,101,37.0
L1genda,72,28,15,29,147,154,-7,99,38.9
Gula14,72,27,17,28,111,126,-15,98,37.5
Dreamer,88,28,12,48,173,225,-52,96,31.8
Bob,48,29,3,16,144,111,33,90,60.4
Mers,56,25,12,19,200,200,0,87,44.6
Koss,72,23,13,36,161,182,-21,82,31.9
Senya,72,22,12,38,145,190,-45,78,30.6
Andrew,56,20,14,22,121,123,-2,74,35.7
bucho55,64,21,11,32,142,163,-21,74,32.8
Stasyan,64,19,16,29,136,156,-20,73,29.7
Dan_dragonio,65,22,5,38,241,309,-68,71,33.8
Groma,40,19,8,13,94,86,8,65,47.5
Legion,78,16,13,49,204,318,-114,61,20.5
Radahn,30,17,7,6,116,85,31,58,56.7
pimchik,40,16,8,16,84,89,-5,56,40.0
vladl3n,32,13,4,15,126,117,9,43,40.6
Kolesya,24,13,1,10,70,55,15,40,54.2
Kostolom89,32,10,4,18,73,83,-10,34,31.2
Yerema,40,10,4,26,107,158,-51,34,25.0
